name,brName,avgTime,sem,repeats,minValue,maxValue,earliestTime,latestTime
bbb.normal.landing.pre-load.citations,general,5593,373,11,3103,8263,"11/4/2024, 3:08:04 PM","11/4/2024, 4:47:29 PM"
bbb.normal.landing.post-load.citations,general,1283,94,11,1041,2002,"11/4/2024, 3:08:08 PM","11/4/2024, 4:47:33 PM"
bbb.throttled.landing.pre-load.author-citations-title-abstract,general,9722,231,11,9018,11742,"11/4/2024, 3:08:02 PM","11/4/2024, 4:47:27 PM"
bbb.throttled.landing.post-load.author-citations-title-abstract,general,2720,60,11,2424,3078,"11/4/2024, 3:08:09 PM","11/4/2024, 4:47:34 PM"
bbb.normal.landing.pre-load.affiliation,general,4883,275,11,3162,6390,"11/4/2024, 3:08:09 PM","11/4/2024, 4:47:33 PM"
bbb.normal.landing.post-load.affiliation,general,1384,45,11,1097,1629,"11/4/2024, 3:08:12 PM","11/4/2024, 4:47:36 PM"
bbb.normal.landing.pre-load.pub-type,general,5282,346,11,3112,7201,"11/4/2024, 3:08:09 PM","11/4/2024, 4:47:34 PM"
bbb.normal.landing.post-load.pub-type,general,1326,71,11,1008,1670,"11/4/2024, 3:08:13 PM","11/4/2024, 4:47:38 PM"
bbb.normal.landing.pre-load.abstract-keyword,general,5072,325,11,3151,6273,"11/4/2024, 3:08:09 PM","11/4/2024, 4:48:04 PM"
bbb.normal.landing.post-load.abstract-keyword,general,1288,59,11,1024,1506,"11/4/2024, 3:08:13 PM","11/4/2024, 4:48:07 PM"
bbb.normal.landing.pre-load.keyword-search,general,5244,374,11,3469,7562,"11/4/2024, 3:08:10 PM","11/4/2024, 4:47:37 PM"
bbb.normal.landing.post-load.keyword-search,general,1468,85,11,1035,1959,"11/4/2024, 3:08:14 PM","11/4/2024, 4:47:39 PM"
bbb.normal.landing.pre-load.or-search,general,3963,330,11,2912,6965,"11/4/2024, 3:08:14 PM","11/4/2024, 4:47:39 PM"
